evaluation_id,capture_id,scene_group,source_kind,data_space,near_black_fraction,near_white_fraction,mean_normalized,p01_normalized,p50_normalized,p99_normalized,flat_roi_snr_db_proxy,approx_dynamic_range_db_proxy,mtf50_proxy_cyc_per_px,status,boundary
iq_public_dng_001,T01_a0006-IMG_2787,unlabeled_public_reference,public_dataset,bayer_raw,0.0,0.0005333718569012686,0.12895147502422333,0.02376978099346161,0.09260866791009903,0.4002804160118103,4.223269822411315,26.35209968579811,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_002,T02_a0008-WP_CRW_3959,unlabeled_public_reference,public_dataset,bayer_raw,0.007793924838949611,0.0,0.0685310885310173,0.004647559951990843,0.06893880665302277,0.15827523171901703,7.039694212009932,37.902698523887096,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_003,T03_a0010-jmac_MG_4807,unlabeled_public_reference,public_dataset,bayer_raw,0.0832784338308631,0.00022370942636549816,0.12041027843952179,0.0007560483645647764,0.10509072244167328,0.5521673560142517,11.090761935346825,29.855033770120485,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_004,T04_a0012-kme_143,unlabeled_public_reference,public_dataset,bayer_raw,0.05537388737814487,9.782752752956109e-05,0.059996284544467926,0.001764112850651145,0.022933468222618103,0.3311491906642914,3.9426425148117854,33.16349654302124,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_005,T05_a0014-WP_CRW_6320,unlabeled_public_reference,public_dataset,bayer_raw,0.00032982237182153977,0.0,0.08592922985553741,0.008776457980275154,0.06401652097702026,0.5758905410766602,-0.879042466281206,14.25057006894233,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_006,T06_a0018-kme_234,unlabeled_public_reference,public_dataset,bayer_raw,0.00020242679985721292,0.0,0.08752897381782532,0.009072580374777317,0.06426411122083664,0.2749496102333069,6.59795968668374,27.201573064325956,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_007,T07_a0020-jmac_MG_6225,unlabeled_public_reference,public_dataset,bayer_raw,0.0242910974520423,0.015263072415968618,0.16013695299625397,0.002805836033076048,0.06425365060567856,1.0,4.658407065392451,27.6909881995958,0.00392156862745098,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_008,T08_a0022-IMG_2380,unlabeled_public_reference,public_dataset,bayer_raw,0.00012487512487512488,0.00012283468165821107,0.07791830599308014,0.00861378200352192,0.07011217623949051,0.2413194477558136,4.668548885167579,24.658766543943642,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_009,T09_a0023-07-06-02-at-15h06m48-s_MG_1489,unlabeled_public_reference,public_dataset,bayer_raw,0.0307344664530355,1.1868398203499304e-05,0.04632076621055603,0.002805049065500498,0.029453014954924583,0.2569425106048584,0.7798748502817937,29.543664665448247,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_010,T10_a0026-kme_391,unlabeled_public_reference,public_dataset,bayer_raw,0.04389432885721002,0.0018386496366958917,0.06344007700681686,0.0025201612152159214,0.043094757944345474,0.2855342626571655,-10.638916812104958,22.28506886560301,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_011,T11_a0033-KE_-2590,unlabeled_public_reference,public_dataset,bayer_raw,0.043799325772226,0.0005775361940103486,0.07477694004774094,0.002197802299633622,0.03980464115738869,0.47374847531318665,2.0866082321653483,18.10505053010215,0.00392156862745098,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_012,T12_a0034-LSYD4O2202,unlabeled_public_reference,public_dataset,bayer_raw,0.1219111402382641,1.6398986135674676e-05,0.050923917442560196,0.0011163828894495964,0.020373988896608353,0.38152387738227844,-3.092299772214862,23.36532807675478,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_013,T13_a0035-dgw_048,unlabeled_public_reference,public_dataset,bayer_raw,0.0,0.09507829151351117,0.1963665634393692,0.008620689623057842,0.07337024807929993,1.0,2.345604287490523,25.944975425913135,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
iq_public_dng_014,T14_a0040-_DSC5693,unlabeled_public_reference,public_dataset,bayer_raw,0.0,0.010386421328962902,0.13866250216960907,0.005977850407361984,0.09696702659130096,0.9999370574951172,1.6363605195694215,8.247322630049897,0.00784313725490196,verified_proxy,"Public DNG natural-image ROI proxies; not self-captured lab IQ, ColorChecker, or slanted-edge MTF."
