id,name,ort_vs_pytorch_max_abs_error,ort_vs_pytorch_mean_abs_error,ort_vs_pytorch_psnr,ort_quality_psnr,ort_quality_ssim,pytorch_quality_psnr,pytorch_quality_ssim
pair_00001,pair_00001.png,4.172325134277344e-07,4.095160832662259e-08,80.0,25.728542356920094,0.9334773031974519,25.728542735082804,0.9334773032201729
pair_00002,pair_00002.png,2.384185791015625e-07,3.3462011828078175e-08,80.0,39.18957963504158,0.9989796025753965,39.18957963504158,0.9989796025528597
pair_00003,pair_00003.png,2.384185791015625e-07,3.40916237462352e-08,80.0,36.22938823723019,0.9980267797628743,36.22938850247281,0.998026779787842
pair_00004,pair_00004.png,2.5331974029541016e-07,3.618312049979977e-08,80.0,31.84196051358558,0.9945146068431503,31.84196051358558,0.9945146069536744
pair_00005,pair_00005.png,4.172325134277344e-07,4.127851127577742e-08,80.0,25.625835616496467,0.9794243687211711,25.625835616496467,0.9794243688110752
pair_00006,pair_00006.png,2.384185791015625e-07,3.1060142902106236e-08,80.0,35.534698330471606,0.9959019337013522,35.534698782540175,0.9959019336136986
pair_00007,pair_00007.png,1.862645149230957e-07,3.0032595077500446e-08,80.0,34.267533637494935,0.9902907141848805,34.26753329982857,0.9902907141759515
pair_00008,pair_00008.png,2.086162567138672e-07,3.001381188028063e-08,80.0,34.10182541124006,0.9604757827273644,34.101825086214895,0.9604757827233233
pair_00009,pair_00009.png,2.682209014892578e-07,3.556918315439361e-08,80.0,33.78443716953121,0.9971597663065478,33.78443716953121,0.997159766236844
pair_00010,pair_00010.png,2.384185791015625e-07,3.2057482002301185e-08,80.0,33.53390895414064,0.9943376208294235,33.53390923932478,0.9943376207218044
pair_00011,pair_00011.png,2.1606683731079102e-07,3.02097902249443e-08,80.0,34.248384310544694,0.9912246995174482,34.248384310544694,0.9912246995049547
pair_00012,pair_00012.png,2.0116567611694336e-07,2.9678282942313672e-08,80.0,34.37774754336011,0.97867573322218,34.37774858239594,0.9786757332977247
pair_00013,pair_00013.png,2.0116567611694336e-07,3.052995722896412e-08,80.0,37.57831830211737,0.997452803407071,37.57831830211737,0.9974528034532015
pair_00014,pair_00014.png,2.8312206268310547e-07,3.688296956738668e-08,80.0,28.101616292929616,0.9779486931813904,28.101616292929616,0.9779486930880409
pair_00015,pair_00015.png,3.427267074584961e-07,4.093867289611808e-08,80.0,25.3256325924262,0.9453939880483001,25.325632937083693,0.94539398791843
pair_00016,pair_00016.png,2.384185791015625e-07,3.3370170626767504e-08,80.0,37.250843209289705,0.9986147196265782,37.250843209289705,0.9986147196407259
pair_00017,pair_00017.png,2.384185791015625e-07,3.4349348254636425e-08,80.0,33.29387605268434,0.9969015730668705,33.29387659238393,0.9969015731340113
pair_00018,pair_00018.png,2.2351741790771484e-07,3.037799345406711e-08,80.0,37.50872933164199,0.9970962526695692,37.50872933164199,0.9970962527241031
pair_00019,pair_00019.png,2.384185791015625e-07,3.235235723764163e-08,80.0,33.681991611599514,0.9933687151716902,33.681991611599514,0.9933687152731874
pair_00020,pair_00020.png,3.2782554626464844e-07,3.693519090575137e-08,80.0,28.47249011019006,0.9765604749923943,28.47249011019006,0.9765604751467379
