name,noisy_path,clean_path,noisy_size,clean_size,same_size
pair_00001.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00001.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00001.png,"(512, 512)","(512, 512)",True
pair_00002.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00002.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00002.png,"(512, 512)","(512, 512)",True
pair_00003.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00003.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00003.png,"(512, 512)","(512, 512)",True
pair_00004.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00004.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00004.png,"(512, 512)","(512, 512)",True
pair_00005.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00005.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00005.png,"(512, 512)","(512, 512)",True
pair_00006.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00006.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00006.png,"(512, 512)","(512, 512)",True
pair_00007.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00007.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00007.png,"(512, 512)","(512, 512)",True
pair_00008.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00008.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00008.png,"(512, 512)","(512, 512)",True
pair_00009.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00009.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00009.png,"(512, 512)","(512, 512)",True
pair_00010.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00010.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00010.png,"(512, 512)","(512, 512)",True
pair_00011.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00011.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00011.png,"(512, 512)","(512, 512)",True
pair_00012.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00012.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00012.png,"(512, 512)","(512, 512)",True
pair_00013.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00013.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00013.png,"(512, 512)","(512, 512)",True
pair_00014.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00014.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00014.png,"(512, 512)","(512, 512)",True
pair_00015.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00015.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00015.png,"(512, 512)","(512, 512)",True
pair_00016.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00016.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00016.png,"(512, 512)","(512, 512)",True
pair_00017.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00017.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00017.png,"(512, 512)","(512, 512)",True
pair_00018.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00018.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00018.png,"(512, 512)","(512, 512)",True
pair_00019.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00019.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00019.png,"(512, 512)","(512, 512)",True
pair_00020.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00020.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00020.png,"(512, 512)","(512, 512)",True
pair_00021.png,stage2_ai_isp\datasets\sidd_tiny\train\noisy\pair_00021.png,stage2_ai_isp\datasets\sidd_tiny\train\clean\pair_00021.png,"(512, 512)","(512, 512)",True
