split,name,noisy_path,clean_path,source,note
train,pair_00001.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00001.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00001.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00002.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00002.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00002.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00003.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00003.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00003.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00004.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00004.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00004.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00005.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00005.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00005.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00006.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00006.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00006.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00007.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00007.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00007.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00008.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00008.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00008.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00009.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00009.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00009.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00010.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00010.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00010.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00011.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00011.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00011.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00012.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00012.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00012.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00013.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00013.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00013.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00014.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00014.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00014.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00015.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00015.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00015.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00016.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00016.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00016.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00017.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00017.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00017.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00018.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00018.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00018.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00019.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00019.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00019.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00020.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00020.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00020.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00021.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00021.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00021.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00022.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00022.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00022.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00023.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00023.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00023.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00024.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00024.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00024.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00025.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00025.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00025.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00026.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00026.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00026.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00027.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00027.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00027.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00028.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00028.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00028.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00029.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00029.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00029.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00030.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00030.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00030.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00031.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00031.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00031.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00032.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00032.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00032.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00033.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00033.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00033.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00034.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00034.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00034.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00035.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00035.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00035.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00036.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00036.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00036.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00037.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00037.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00037.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00038.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00038.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00038.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00039.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00039.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00039.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00040.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00040.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00040.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00041.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00041.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00041.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00042.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00042.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00042.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00043.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00043.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00043.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00044.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/noisy/pair_00044.png,C:/Users/10439/Desktop/route/ai_isp_stage2/datasets/sidd_tiny/train/clean/pair_00044.png,ai_isp_stage2/datasets/sidd_tiny,paired sRGB crop; not RAW
